image_id,report
Cardiomegaly.23.jpg,"The cardiac silhouette is enlarged. Findings are consistent with cardiomegaly. Lungs are clear."
Cardiomegaly.24.jpg,"Significant enlargement of the heart noted. No focal consolidation or pleural effusion is seen."
Cardiomegaly.25.jpg,"Global enlargement of the cardiac shadow. Pulmonary vascularity is normal. No pneumonia detected."
sample.1.jpg,"The lungs are clear and well-expanded. Heart size and mediastinal contours are within normal limits."
sample.2.jpg,"Globular enlargement of the heart suggests cardiomegaly. Lung fields are clear of acute disease."
sample.3.jpg,"Normal chest radiograph. No focal opacities, nodules, or masses. Cardiac silhouette is normal."
sample.4.jpg,"The lungs appear clear. Heart size is normal. No evidence of pneumothorax or pleural effusion."
sample.5.jpg,"Patchy increased opacities in the lower lung zones consistent with multifocal pneumonia."
sample.6.jpg,"Normal heart and lung findings. The costophrenic angles are sharp and well-defined."
sample.7.jpg,"Cardiac size is at the upper limit of normal. Lungs are clear without focal consolidation."
sample.8.jpg,"Dense consolidation in the left lower lobe. Findings are highly suspicious for bacterial pneumonia."
sample.9.jpg,"Blunting of the costophrenic angle indicates a pleural effusion. Heart size is within normal limits."
sample.10.jpg,"Normal chest x-ray. Lung volumes are adequate and clear. No acute cardiopulmonary process."
sample.11.jpg,"Diffuse hazy opacities noted bilaterally, suggestive of an early infectious process or pneumonia."
sample.12.jpg,"The heart is significantly enlarged. Findings consistent with chronic cardiomegaly. Lungs are clear."
sample.13.jpg,"Focal consolidation in the right mid-lung zone is consistent with a localized pneumonia."
sample.14.jpg,"Lungs are clear. No evidence of focal pneumonia. Cardiac and mediastinal contours are unremarkable."
sample.15.jpg,"Moderately enlarged cardiac silhouette. Lungs show slight vascular prominence but no pneumonia."
sample.16.jpg,"Chest is clear. No pleural effusions or pneumothorax. Heart size and shape are normal."
sample.17.jpg,"Normal appearing chest. Lungs are well-aerated. No acute focal opacities detected."
sample.18.jpg,"Patchy consolidation in the bilateral bases suggests possible multifocal bacterial pneumonia."
sample.20.jpg,"The cardiomediastinal silhouette is normal. Lungs are clear of acute focal disease."
sample.21.jpg,"Hazy increased lung markings in the right lung suggest early stage focal pneumonia."
Sample.22.jpg,"Normal heart size. Clear lung fields. No signs of infection, effusion, or nodules detected."
sample.25.jpg,"Moderate cardiomegaly noted. Lungs are clear without evidence of consolidation or effusion."
sample.26.jpg,"The heart size is within normal limits. Lungs are clear. No acute abnormalities seen."
sample.27.jpg,"Dense opacity in the left base suggests a localized pneumonia. Heart size is normal."
sample.28.jpg,"Globular configuration of the heart consistent with cardiomegaly. Lung fields are unremarkable."
sample.29.jpg,"Normal chest radiograph. Clear lungs and normal cardiac silhouette size."
sample.30.jpg,"Patchy opacities in the right lower lobe are suspicious for an infectious process or pneumonia."
sample.31.jpg,"Lungs are well-expanded and clear. No evidence of pleural effusion. Heart size is normal."
temp_download.jpg,"Normal lung volumes. Clear hila and mediastinum. No acute cardiopulmonary findings."
temp_sample.2.jpg,"The cardiac silhouette is slightly enlarged. Lungs are otherwise clear of focal disease."
temp_sample.6.jpg,"Normal chest x-ray. No focal consolidation or pleural effusion. Heart size is normal."
temp_sample.7.jpg,"Clear lungs. Normal mediastinal contours. No signs of pneumonia or cardiomegaly."
temp_sample.8.jpg,"Significant consolidation in the lower lung fields is consistent with bacterial pneumonia."
test_image.jpg,"The lungs are clear. No signs of pneumonia. Heart size is normal and stable."